concept_id,canonical_label,aliases,parent,category,tags,visual_description
a1870931-ba66-5048-ae5e-5f75ab3370d0,smoke alarm,fire alarm|smoke detector,household,household,safety,round white ceiling smoke detector
33419cc8-0270-509c-89d2-a8e0b5dd4acf,welcome mat,doormat|entrance mat,household,household,home,flat coir or rubber entrance door mat
f16ed582-1cfe-5b69-a988-4689dd099fee,soap dispenser,lotion dispenser|wall dispenser,household,household,accessories,wall-mounted or countertop soap dispenser
0f011b68-4e80-506b-a814-05d89f6886f4,decorative mirror,full-length mirror|floor mirror|wall mirror,household,household,decor,large framed full-length decorative mirror
69ee8494-87c8-569e-b176-91c2f1135799,clock,mantle clock|desk clock,household,household,timekeeping,small decorative mantle or shelf clock
ab2afe5a-aad3-56e1-90a3-c9a66b13c8b2,throw pillow,accent pillow|decorative pillow,household,household,decor,small decorative square accent pillow
550f14e0-8c5b-59c0-8ca5-907749ae81cc,table runner,dining runner,household,household,linens,long narrow decorative table runner
b2e171ae-db7d-59c8-bc79-b4f2630426ec,plant pot,indoor planter|potted plant pot,household,household,decor,ceramic or terracotta indoor plant pot
10c94f37-4965-5e78-80bd-a3e7a047cb9a,bookend,book stopper,household,household,decor,decorative metal or wood bookend pair
13f32cb4-c218-5160-9429-d8d1fa76e5ee,wicker basket,storage basket|decorative basket,household,household,storage,woven wicker storage basket
ef2a3377-f2c7-5581-82cf-2dada923c0ac,ironing basket,laundry sorter,household,household,storage,tall fabric laundry sorting basket
